price,year,kilometers,fuel,engine_size
89900,2018,49800,Benzyna,1395
260420,2022,1,Benzyna,1984
159350,2023,1,Benzyna,1984
60500,2015,180390,Diesel,1968
55900,2018,75000,Diesel,1598
89900,2019,141276,Benzyna,1498
19500,2010,354000,Diesel,1598
14900,2004,207000,Benzyna,1598
28500,2011,110975,Benzyna,1390
41900,2014,229500,Benzyna,1395
69900,2017,120200,Benzyna,1395
79900,2019,78000,Benzyna,1498
68019,2018,146615,Diesel,1598
78500,2019,169195,Benzyna,1498
14900,2009,224300,Diesel,1896
4500,2000,370000,Diesel,1896
66900,2018,100858,Diesel,1598
35999,2010,194500,Diesel,1598
7500,2004,298000,Diesel,1896
129900,2019,72000,Benzyna,1984
242900,2023,8,Benzyna,1984
169900,2023,8,Benzyna,1498
67900,2020,180000,Benzyna,1498
124900,2022,6671,Benzyna,1498
89000,2017,170000,Diesel,1968
76800,2014,183200,Benzyna,1984
45900,2013,200000,Diesel,1598
189900,2023,,Benzyna,1984
52900,2017,137900,Diesel,1598
102900,2023,5,Benzyna,999
75900,2019,38700,Benzyna,1498
190900,2023,5,Benzyna,1984
159900,2022,8,Benzyna,1498
197900,2022,1,Benzyna,1984
18200,2004,350000,Diesel,4921
55900,2018,75000,Diesel,1598
117500,2023,1,Benzyna,1498
8900,2006,256499,Diesel,1896
89900,2019,141276,Benzyna,1498
67900,2015,183000,Diesel,1968
59500,2014,169800,Diesel,1968
94587,2017,267608,Diesel,2967
114790,2022,3,Benzyna,999
12300,2007,355000,Diesel,1968
19500,2010,354000,Diesel,1598
14900,2004,207000,Benzyna,1598
113400,2022,3,Benzyna,999
85000,2017,151000,Diesel,1968
113400,2022,3,Benzyna,999
252000,2022,,Benzyna,1984
28500,2011,110975,Benzyna,1390
22900,2009,154000,Benzyna,1390
197900,2023,5,,
54800,2012,212000,Diesel,1968
68880,2016,382000,Diesel,1968
22999,2009,199431,Benzyna,1390
113900,2023,8,Benzyna,999
41900,2014,229500,Benzyna,1395
46900,2012,180000,Benzyna,1798
23900,2011,329500,Diesel,1968
244900,2022,1,Benzyna,1984
19900,2008,230000,Benzyna,1390
69900,2017,120200,Benzyna,1395
126600,2022,5,Benzyna,1498
11700,2006,155381,Benzyna,1984
113900,2022,5,Benzyna,999
98500,2023,5,Benzyna,999
125000,2017,104000,Benzyna,1984
79900,2019,78000,Benzyna,1498
98500,2023,5,Benzyna,999
99500,2023,5,Benzyna,999
101000,2023,5,Benzyna,999
215900,2022,1,Benzyna,1984
123500,2023,5,Benzyna,1498
204900,2019,102000,Diesel,1968
68019,2018,146615,Diesel,1598
148790,2022,1,Benzyna,1498
3800,2002,380000,Diesel,1896
53333,2015,254000,Diesel,1968
27100,2006,368000,Diesel,2460
113400,2022,3,Benzyna,999
154900,2022,5,Benzyna,1498
114790,2022,3,Benzyna,999
113400,2022,3,Benzyna,999
89900,2017,219000,Diesel,1968
7500,2005,195000,Benzyna,1984
45700,2014,218700,Diesel,1968
62900,2017,194000,Diesel,1598
78500,2019,169195,Benzyna,1498
79900,2019,299500,Diesel,1968
194900,2021,45850,Diesel,1968
254900,2022,1,Benzyna,1984
38500,2011,84000,Benzyna,1984
259407,2018,112209,Diesel,2967
154900,2023,1,Benzyna,1498
120700,2022,1,Benzyna,1500
14900,2009,224300,Diesel,1896
182900,2023,1,Benzyna,1984
4500,1997,381000,Diesel,1896
58000,2017,137000,Benzyna,1395
36800,2012,265516,Diesel,1598
4500,2000,370000,Diesel,1896
38500,2011,260000,Diesel,1968
75900,2019,89548,Benzyna,999
99900,2019,90000,Diesel,1968
66900,2018,100858,Diesel,1598
39975,2012,244000,Benzyna,1984
